date,price,open,high,low,vol,change
02-01-2025,765.05,759.30,767.35,749.35,15.29M,0.02
01-01-2025,749.25,740.45,751.10,736.00,7.79M,0.01
31-12-2024,740.15,733.65,743.40,732.75,7.09M,0.01
30-12-2024,733.65,753.90,754.90,730.70,17.44M,-0.02
27-12-2024,750.50,749.00,766.85,745.70,15.84M,0.01
26-12-2024,740.80,736.10,747.80,735.55,9.34M,0.01
24-12-2024,736.10,723.50,745.30,722.50,12.55M,0.02
23-12-2024,722.20,733.70,734.40,717.70,9.65M,0
20-12-2024,724.05,744.30,749.55,721.50,17.96M,-0.03
19-12-2024,744.05,744.45,755.80,741.40,17.12M,-0.02
18-12-2024,755.70,774.00,774.25,754.00,19.09M,-0.03
17-12-2024,779.75,785.50,796.35,778.00,10.27M,-0.01
16-12-2024,784.80,791.40,793.95,783.00,10.02M,-0.01
13-12-2024,790.30,789.00,792.50,775.00,14.10M,0.01
12-12-2024,786.35,799.20,802.00,785.50,10.60M,-0.02
11-12-2024,799.10,802.90,806.95,798.20,7.76M,0
10-12-2024,799.90,804.80,810.45,797.45,13.11M,0
09-12-2024,798.75,816.80,820.35,797.00,15.57M,-0.02
06-12-2024,816.80,793.00,818.85,785.30,19.72M,0.03
05-12-2024,792.55,793.00,797.50,781.00,12.17M,0.01
04-12-2024,788.10,805.00,806.00,784.05,12.39M,-0.02
03-12-2024,801.25,795.00,806.00,790.00,9.87M,0.01
02-12-2024,790.05,787.30,796.75,785.00,8.43M,0
29-11-2024,786.45,779.50,789.40,777.05,10.36M,0.01
28-11-2024,779.45,783.00,792.55,778.00,10.94M,-0.01
27-11-2024,783.95,785.05,791.90,779.10,10.01M,0
26-11-2024,783.00,797.15,801.80,780.15,10.31M,-0.02
25-11-2024,796.60,808.05,810.20,793.65,15.19M,0.01
22-11-2024,791.00,775.00,794.00,775.00,14.54M,0.02
21-11-2024,773.85,784.95,785.95,766.25,14.19M,-0.01
19-11-2024,783.20,771.90,799.90,771.90,14.01M,0.01
18-11-2024,771.90,778.00,781.75,759.20,17.05M,0
14-11-2024,774.30,786.60,792.00,772.00,11.74M,-0.02
13-11-2024,786.25,787.00,792.65,775.55,14.67M,0
12-11-2024,784.85,806.00,813.10,783.05,16.53M,-0.02
11-11-2024,804.70,801.00,831.45,792.00,27.59M,0
08-11-2024,805.45,821.95,822.00,801.10,16.07M,-0.02
07-11-2024,819.75,841.00,842.75,817.30,13.24M,-0.02
06-11-2024,839.70,843.90,843.90,826.00,10.58M,0
05-11-2024,835.65,821.50,843.60,820.40,10.22M,0.01
04-11-2024,824.10,840.00,844.45,814.50,15.51M,-0.02
01-11-2024,843.45,847.95,847.95,840.00,2.90M,0.01
31-10-2024,834.05,843.85,843.85,831.85,11.90M,-0.01
30-10-2024,840.20,846.00,853.60,838.05,12.93M,0
29-10-2024,842.75,880.25,882.50,825.70,26.82M,-0.04
28-10-2024,878.45,867.85,886.75,860.20,7.11M,0.02
25-10-2024,864.30,883.90,885.75,857.30,10.87M,-0.02
24-10-2024,880.00,875.25,890.00,875.25,7.23M,0
23-10-2024,877.65,879.00,885.60,863.30,10.55M,0
22-10-2024,879.50,905.00,906.10,875.25,13.62M,-0.03
21-10-2024,903.30,912.05,917.65,898.10,7.39M,-0.01
18-10-2024,910.15,894.30,917.70,886.80,11.53M,0.02
17-10-2024,891.60,914.95,914.95,890.05,13.86M,-0.02
16-10-2024,907.45,917.05,923.00,900.00,10.30M,-0.01
15-10-2024,917.30,932.95,935.35,913.00,9.06M,-0.01
14-10-2024,928.25,930.00,940.00,925.35,5.74M,0
11-10-2024,930.70,932.00,937.00,928.50,4.46M,0
10-10-2024,928.50,933.75,943.60,912.35,13.25M,-0.01
09-10-2024,939.15,926.80,948.45,925.50,11.56M,0.02
08-10-2024,919.80,916.00,924.80,893.85,21.18M,-0.01
07-10-2024,927.85,942.00,944.45,915.00,11.77M,0
04-10-2024,930.75,930.00,949.20,920.00,19.19M,0.01
03-10-2024,925.70,939.00,950.15,925.00,24.42M,-0.04
01-10-2024,965.20,976.90,984.50,958.90,10.09M,-0.01
30-09-2024,974.65,993.00,996.95,971.80,12.23M,-0.02
27-09-2024,993.00,996.00,1000.40,989.15,10.36M,0
26-09-2024,993.15,970.80,994.95,965.60,21.64M,0.03
25-09-2024,963.60,982.40,982.50,959.25,12.96M,-0.01
24-09-2024,977.30,974.00,985.00,972.60,12.76M,0.01
23-09-2024,971.80,973.50,979.20,966.05,10.25M,0
20-09-2024,970.85,967.00,977.50,949.20,16.76M,0
19-09-2024,967.00,970.40,978.95,956.35,13.47M,0.01
18-09-2024,962.05,978.20,983.70,957.15,12.04M,-0.01
17-09-2024,974.95,995.00,995.00,960.00,44.52M,-0.01
16-09-2024,988.40,997.00,999.90,984.50,5.84M,0
13-09-2024,992.10,994.90,1006.00,988.00,13.20M,0.01
12-09-2024,986.15,976.30,988.00,958.00,25.68M,0.01
11-09-2024,976.30,1000.00,1011.55,971.25,36.14M,-0.06
10-09-2024,1035.80,1049.00,1049.00,1032.20,6.92M,0
09-09-2024,1038.70,1049.35,1049.95,1026.25,7.21M,-0.01
06-09-2024,1049.35,1068.80,1072.95,1040.50,8.72M,-0.02
05-09-2024,1069.15,1081.00,1085.85,1066.95,7.90M,-0.01
04-09-2024,1080.45,1079.00,1085.00,1072.10,4.67M,0
03-09-2024,1085.10,1097.60,1100.00,1082.20,5.09M,-0.01
02-09-2024,1092.65,1105.00,1105.00,1087.35,8.12M,-0.02
30-08-2024,1111.35,1113.95,1115.00,1097.45,17.65M,-0.01
29-08-2024,1121.65,1079.05,1142.00,1066.00,40.66M,0.04
28-08-2024,1074.55,1082.95,1088.70,1070.10,8.15M,0
27-08-2024,1077.25,1093.05,1096.65,1075.00,8.81M,-0.01
26-08-2024,1092.40,1089.00,1103.35,1082.85,9.42M,0.01
23-08-2024,1085.15,1073.00,1092.60,1071.00,10.18M,0.02
22-08-2024,1068.45,1090.00,1094.75,1064.95,9.38M,-0.02
21-08-2024,1085.20,1089.00,1095.30,1083.30,4.87M,0
20-08-2024,1086.90,1097.00,1098.05,1082.05,5.63M,0
19-08-2024,1087.70,1105.90,1107.00,1085.00,6.91M,-0.01
16-08-2024,1098.35,1072.00,1099.95,1070.00,11.44M,0.03
14-08-2024,1062.35,1057.00,1067.05,1047.00,8.21M,0.01
13-08-2024,1053.45,1074.85,1075.50,1048.20,7.51M,-0.02
12-08-2024,1076.15,1065.00,1079.90,1055.00,11.31M,0.01
09-08-2024,1068.10,1055.00,1082.95,1052.05,15.44M,0.03
08-08-2024,1041.75,1034.95,1056.40,1027.00,19.53M,0.02
07-08-2024,1025.30,1036.05,1040.20,1015.05,9.98M,0.01
06-08-2024,1013.75,1030.00,1060.65,1008.40,16.73M,0
05-08-2024,1016.45,1059.95,1065.00,1014.05,26.65M,-0.07
02-08-2024,1096.65,1120.00,1120.00,1090.05,21.97M,-0.04
01-08-2024,1144.40,1167.00,1176.00,1136.50,14.38M,-0.01
31-07-2024,1156.65,1164.00,1167.90,1145.30,10.86M,0
30-07-2024,1161.85,1125.80,1179.00,1118.60,28.59M,0.03
29-07-2024,1124.00,1124.00,1139.90,1118.60,11.85M,0.01
26-07-2024,1118.30,1111.95,1120.50,1083.60,21.23M,0.03
25-07-2024,1090.95,1029.00,1094.00,1024.35,32.77M,0.06
24-07-2024,1027.70,997.80,1034.25,995.15,11.47M,0.03
23-07-2024,1001.80,1007.90,1008.65,967.20,10.38M,0
22-07-2024,1003.15,990.00,1008.00,976.55,7.40M,0.01
19-07-2024,990.00,1024.00,1024.00,986.65,7.40M,-0.03
18-07-2024,1024.55,1022.95,1027.00,1008.00,8.01M,0
16-07-2024,1021.15,1025.50,1029.60,1019.20,4.82M,0
15-07-2024,1024.45,1021.35,1029.80,1017.30,5.85M,0.01
12-07-2024,1016.75,1023.85,1025.90,1015.00,7.34M,0
11-07-2024,1020.80,1008.00,1025.50,1007.05,11.98M,0.02
10-07-2024,1005.50,1015.00,1019.85,986.05,13.41M,-0.01
09-07-2024,1014.95,1000.95,1017.00,998.10,10.95M,0.01
08-07-2024,1002.60,1005.00,1016.60,996.20,13.31M,0.01
05-07-2024,993.65,1005.00,1006.60,989.95,9.05M,0
04-07-2024,998.20,984.00,1004.00,979.60,12.14M,0.02
03-07-2024,975.65,984.95,987.35,973.50,7.35M,-0.01
02-07-2024,981.30,1004.05,1005.00,979.10,12.28M,-0.02
01-07-2024,1002.05,989.75,1005.50,985.20,14.01M,0.01
28-06-2024,989.75,975.00,998.50,972.55,23.03M,0.02
27-06-2024,972.10,952.50,974.85,948.05,19.39M,0.02
26-06-2024,951.85,956.00,962.50,950.10,6.91M,0
25-06-2024,955.00,960.00,962.85,949.30,7.30M,0
24-06-2024,958.05,960.90,963.50,950.05,6.66M,0
21-06-2024,961.80,979.00,980.90,958.10,14.30M,-0.02
20-06-2024,978.25,980.00,988.40,976.35,7.30M,0
19-06-2024,977.35,990.00,994.90,975.15,7.61M,-0.01
18-06-2024,985.90,1000.00,1003.55,984.00,9.85M,-0.01
14-06-2024,993.40,990.00,997.25,981.40,11.59M,0.01
13-06-2024,985.85,1002.00,1002.00,980.75,12.16M,0
12-06-2024,988.70,994.50,1010.25,987.00,17.53M,0
11-06-2024,987.10,973.80,992.55,966.65,14.83M,0.02
10-06-2024,972.15,973.99,981.87,966.12,9.26M,0
07-06-2024,967.52,937.11,970.01,932.37,15.58M,0.03
06-06-2024,935.36,937.11,943.09,928.34,11.79M,0.01
05-06-2024,927.09,922.10,930.88,887.26,13.75M,0.03
04-06-2024,901.12,945.08,945.08,852.77,26.55M,-0.05
03-06-2024,947.53,960.04,960.04,931.13,12.31M,0.03
31-05-2024,920.16,928.78,934.37,917.27,14.29M,0
30-05-2024,921.11,940.60,948.52,918.17,10.17M,-0.02
29-05-2024,940.70,944.04,947.58,935.91,8.18M,0
28-05-2024,944.64,956.05,958.94,943.09,6.62M,-0.01
27-05-2024,955.55,961.93,963.48,949.07,6.92M,0
24-05-2024,957.59,959.54,967.96,955.05,9.59M,0
23-05-2024,959.39,947.08,960.49,942.14,11.21M,0.02
22-05-2024,944.59,949.07,951.96,939.65,9.50M,0
21-05-2024,948.37,951.07,953.71,945.78,10.06M,-0.01
18-05-2024,953.95,950.00,958.00,947.00,1.93M,0.01
17-05-2024,942.79,941.10,950.47,938.10,13.21M,0.01
16-05-2024,933.52,950.27,951.46,916.17,31.24M,-0.01
15-05-2024,944.39,967.96,969.96,942.19,19.67M,-0.02
14-05-2024,961.68,962.13,965.02,950.32,16.33M,0.01
13-05-2024,956.80,1001.91,1005.60,944.29,58.97M,-0.08
10-05-2024,1043.43,1033.81,1047.12,1027.23,13.38M,0.02
09-05-2024,1027.13,1007.89,1039.99,1004.20,19.19M,0.02
08-05-2024,1008.99,983.91,1011.88,973.99,7.52M,0.02
07-05-2024,985.51,1013.07,1014.82,979.03,8.88M,-0.03
06-05-2024,1013.07,1011.88,1016.66,1001.91,5.72M,0
03-05-2024,1010.28,1034.81,1037.00,992.94,11.87M,-0.01
02-05-2024,1024.64,1016.86,1026.83,1008.44,12.70M,0.02
30-04-2024,1004.80,1001.91,1016.31,994.43,9.05M,0.01
29-04-2024,997.52,999.97,1002.66,995.93,4.76M,0
26-04-2024,996.43,1004.70,1005.85,993.53,7.94M,0
25-04-2024,998.17,989.45,1000.21,986.46,8.37M,0.01
24-04-2024,988.60,989.35,992.84,984.96,4.67M,0.01
23-04-2024,983.72,973.00,991.44,971.05,7.99M,0.01
22-04-2024,970.55,975.74,975.74,963.03,7.19M,0.01
19-04-2024,960.24,961.03,964.97,941.10,15.38M,-0.01
18-04-2024,968.36,993.28,1000.01,963.28,13.54M,-0.02
16-04-2024,989.75,986.96,1001.81,979.08,9.57M,-0.01
15-04-2024,995.73,995.03,1003.85,975.49,12.63M,-0.02
12-04-2024,1015.37,1010.88,1025.83,1010.38,11.58M,0
10-04-2024,1010.38,1009.14,1017.86,1006.89,4.55M,0.01
09-04-2024,1005.40,1017.86,1026.33,1001.91,8.54M,0
08-04-2024,1010.08,1006.94,1013.27,1000.91,5.19M,0.01
05-04-2024,1004.00,1008.49,1009.39,1001.31,4.52M,0
04-04-2024,1008.49,1012.88,1013.87,995.08,9.14M,0
03-04-2024,1006.05,1000.91,1011.33,989.50,8.04M,0
02-04-2024,1001.56,995.93,1004.90,990.34,8.00M,0.01
01-04-2024,989.20,996.92,1006.74,984.41,8.63M,0
28-03-2024,989.75,979.48,996.82,975.99,9.86M,0.01
27-03-2024,975.64,988.55,991.94,973.70,6.64M,-0.01
26-03-2024,983.17,973.99,991.94,973.00,9.46M,0.01
22-03-2024,976.79,961.93,983.17,947.43,13.64M,0.02
21-03-2024,961.93,948.08,966.27,943.09,11.07M,0.03
20-03-2024,937.56,957.94,962.18,918.37,13.90M,-0.02
19-03-2024,954.80,965.57,967.61,948.67,9.48M,-0.02
18-03-2024,969.46,942.94,971.80,933.77,12.12M,0.03
15-03-2024,942.94,965.42,976.74,937.11,23.39M,-0.02
14-03-2024,964.77,961.98,978.98,952.46,22.93M,-0.01
13-03-2024,970.21,1015.87,1017.86,960.59,16.56M,-0.04
12-03-2024,1013.37,1024.64,1033.81,1008.19,8.76M,-0.01
11-03-2024,1024.84,1031.57,1032.76,1017.86,7.50M,-0.01
07-03-2024,1036.10,1021.85,1043.78,1010.93,16.88M,0.02
06-03-2024,1014.52,1021.85,1027.48,1005.90,14.21M,0
05-03-2024,1018.76,1023.84,1062.32,1002.26,59.81M,0.04
04-03-2024,984.16,990.20,991.94,977.09,6.08M,0
02-03-2024,988.35,985.15,992.60,981.60,1.78M,0.01
01-03-2024,974.39,956.00,977.38,953.76,10.65M,0.03
29-02-2024,947.28,956.05,956.30,940.00,10.35M,-0.01
28-02-2024,955.10,963.18,973.00,947.38,15.22M,0
27-02-2024,959.74,933.87,962.03,932.62,12.81M,0.03
26-02-2024,934.07,934.22,942.09,927.84,5.60M,0
23-02-2024,934.52,930.23,936.91,926.54,7.05M,0.01
22-02-2024,929.43,921.81,930.98,911.79,6.44M,0.01
21-02-2024,918.22,923.50,934.32,913.68,6.01M,-0.01
20-02-2024,923.50,931.58,931.78,917.57,4.73M,-0.01
19-02-2024,929.73,940.05,940.05,928.19,4.63M,-0.01
16-02-2024,935.71,922.16,945.88,921.26,12.83M,0.02
15-02-2024,917.72,920.86,924.15,913.53,6.43M,0
14-02-2024,915.47,897.23,917.12,891.60,6.57M,0.01
13-02-2024,904.11,908.80,916.27,891.25,8.57M,-0.01
12-02-2024,908.80,913.28,922.16,905.21,7.29M,0
09-02-2024,912.18,923.15,924.55,903.26,7.90M,-0.01
08-02-2024,921.46,934.12,936.81,915.97,11.58M,-0.01
07-02-2024,930.93,941.10,941.10,925.20,7.91M,-0.01
06-02-2024,936.66,933.52,938.41,925.54,12.71M,0.01
05-02-2024,923.95,931.13,947.08,912.53,38.69M,0.05
02-02-2024,876.05,883.28,892.99,874.15,13.00M,0
01-02-2024,875.80,897.23,897.38,873.60,14.51M,-0.01
31-01-2024,881.48,862.54,893.74,862.54,24.56M,0.03
30-01-2024,856.21,840.41,883.22,840.26,19.73M,0.02
29-01-2024,838.41,809.35,841.20,808.55,12.82M,0.04
25-01-2024,809.35,811.50,811.65,797.84,10.11M,0
24-01-2024,808.41,799.93,809.50,786.08,7.22M,0.01
23-01-2024,797.99,822.36,825.05,793.85,9.44M,-0.03
20-01-2024,818.90,826.00,827.00,817.05,2.84M,0
19-01-2024,821.02,821.32,823.46,816.98,5.71M,0.01
18-01-2024,816.53,804.52,820.42,794.55,11.50M,0.02
17-01-2024,803.07,808.51,811.20,801.53,7.90M,-0.02
16-01-2024,816.33,809.95,824.46,809.95,10.16M,0.01
15-01-2024,809.95,817.48,817.88,807.81,4.84M,0
12-01-2024,813.94,815.63,816.03,806.66,7.66M,0
11-01-2024,813.14,811.00,814.98,805.96,11.08M,0.01
10-01-2024,805.96,797.54,808.51,790.21,9.98M,0.01
09-01-2024,797.34,797.49,806.71,790.71,12.87M,0.01
08-01-2024,786.67,795.94,797.89,785.08,7.67M,0
05-01-2024,788.52,796.54,803.42,784.68,11.09M,-0.01
04-01-2024,793.30,795.54,799.33,788.87,14.30M,0.02
03-01-2024,779.05,783.63,787.57,773.86,8.56M,0
02-01-2024,781.99,798.04,801.53,776.60,13.79M,-0.01
01-01-2024,788.17,782.59,796.24,778.65,12.57M,0.01
29-12-2023,777.55,752.68,800.43,751.68,41.17M,0.03
28-12-2023,751.58,740.37,755.62,736.78,14.91M,0.02
27-12-2023,738.62,725.76,739.57,722.92,15.05M,0.03
26-12-2023,717.34,725.16,725.26,714.40,7.23M,-0.01
